time,Import T1 kWh,Import T2 kWh,Export T1 kWh,Export T2 kWh,L1 max W,L2 max W,L3 max W
2024-01-02 05:00,4945.144,3517.196,356.368,751.061,87,67,25
2024-01-02 05:15,4945.188,3517.196,356.368,751.061,114,66,25
2024-01-02 05:30,4945.237,3517.196,356.368,751.061,60,67,25
2024-01-02 05:45,4945.276,3517.196,356.368,751.061,99,66,25
2024-01-02 06:00,4945.322,3517.196,356.368,751.061,73,66,25
2024-01-02 06:15,4945.364,3517.196,356.368,751.061,113,67,25
2024-01-02 06:30,4945.413,3517.196,356.368,751.061,100,67,25
2024-01-02 06:45,4945.458,3517.196,356.368,751.061,97,67,25
2024-01-02 07:00,4945.502,3517.196,356.368,751.061,92,67,25
2024-01-02 07:15,4945.504,3517.235,356.368,751.061,99,67,26
2024-01-02 07:30,4945.504,3517.279,356.368,751.061,111,67,25
2024-01-02 07:45,4945.504,3517.326,356.368,751.061,114,67,25
2024-01-02 08:00,4945.504,3517.372,356.368,751.061,105,67,25
2024-01-02 08:15,4945.504,3517.416,356.368,751.061,96,68,25
2024-01-02 08:30,4945.504,3517.458,356.368,751.061,96,67,25
2024-01-02 08:45,4945.504,3517.502,356.368,751.061,114,67,26
2024-01-02 09:00,4945.504,3517.546,356.368,751.061,113,67,26
2024-01-02 09:15,4945.504,3517.596,356.368,751.061,86,67,25
2024-01-02 09:30,4945.504,3517.635,356.368,751.061,96,67,7
2024-01-02 09:45,4945.504,3517.675,356.368,751.061,76,67,-11
2024-01-02 10:00,4945.504,3517.698,356.368,751.061,112,68,-47
2024-01-02 10:15,4945.504,3517.729,356.368,751.061,77,101,-40
2024-01-02 10:30,4945.504,3517.757,356.368,751.061,114,101,2
2024-01-02 10:45,4945.504,3517.804,356.368,751.061,66,101,7
2024-01-02 11:00,4945.504,3517.843,356.368,751.061,97,101,14
2024-01-02 11:15,4945.504,3517.892,356.368,751.061,83,73,6
2024-01-02 11:30,4945.504,3517.929,356.368,751.061,113,73,-4
2024-01-02 11:45,4945.504,3517.973,356.368,751.061,108,68,-7
2024-01-02 12:00,4945.504,3518.005,356.368,751.061,97,67,22
2024-01-02 12:15,4945.504,3518.047,356.368,751.061,96,101,24
2024-01-02 12:30,4945.504,3518.091,356.368,751.061,113,117,28
2024-01-02 12:45,4945.504,3518.149,356.368,751.061,113,111,11
2024-01-02 13:00,4945.504,3518.200,356.368,751.061,96,108,13
2024-01-02 13:15,4945.504,3518.252,356.368,751.061,96,108,3
2024-01-02 13:30,4945.504,3518.298,356.368,751.061,113,107,12
2024-01-02 13:45,4945.504,3518.349,356.368,751.061,116,108,19
2024-01-02 14:00,4945.504,3518.403,356.368,751.061,87,109,17
2024-01-02 14:15,4945.504,3518.454,356.368,751.061,96,107,517
2024-01-02 14:30,4945.504,3518.555,356.368,751.061,78,107,23
2024-01-02 14:45,4945.504,3518.605,356.368,751.061,107,115,766
2024-01-02 15:00,4945.504,3518.787,356.368,751.061,82,122,852
2024-01-02 15:15,4945.504,3518.914,356.368,751.061,115,109,28
2024-01-02 15:30,4945.504,3518.975,356.368,751.061,65,126,28
2024-01-02 15:45,4945.504,3519.027,356.368,751.061,96,206,26
2024-01-02 16:00,4945.504,3519.105,356.368,751.061,76,200,26
2024-01-02 16:15,4945.504,3519.178,356.368,751.061,111,249,26
2024-01-02 16:30,4945.504,3519.260,356.368,751.061,107,235,26
2024-01-02 16:45,4945.504,3519.347,356.368,751.061,114,225,26
2024-01-02 17:00,4945.504,3519.433,356.368,751.061,95,230,26
2024-01-02 17:15,4945.504,3519.516,356.368,751.061,96,226,26
2024-01-02 17:30,4945.504,3519.597,356.368,751.061,97,231,26
2024-01-02 17:45,4945.504,3519.682,356.368,751.061,114,225,26
2024-01-02 18:00,4945.504,3519.767,356.368,751.061,112,234,26
2024-01-02 18:15,4945.504,3519.856,356.368,751.061,96,235,26
2024-01-02 18:30,4945.504,3519.937,356.368,751.061,96,244,169
2024-01-02 18:45,4945.504,3520.019,356.368,751.061,1161,121,173
2024-01-02 19:00,4945.504,3520.286,356.368,751.061,104,118,176
2024-01-02 19:15,4945.504,3520.380,356.368,751.061,77,82,177
2024-01-02 19:30,4945.504,3520.459,356.368,751.061,114,255,154
2024-01-02 19:45,4945.504,3520.560,356.368,751.061,87,241,64
2024-01-02 20:00,4945.504,3520.650,356.368,751.061,114,223,60
2024-01-02 20:15,4945.504,3520.740,356.368,751.061,101,233,59
2024-01-02 20:30,4945.504,3520.831,356.368,751.061,114,225,59
2024-01-02 20:45,4945.504,3520.920,356.368,751.061,110,226,79
2024-01-02 21:00,4945.504,3521.015,356.368,751.061,114,208,76
2024-01-02 21:15,4945.591,3521.016,356.368,751.061,270,191,77
2024-01-02 21:30,4945.697,3521.016,356.368,751.061,335,166,77
2024-01-02 21:45,4945.822,3521.016,356.368,751.061,123,170,77
2024-01-02 22:00,4945.908,3521.016,356.368,751.061,121,145,78
2024-01-02 22:15,4945.991,3521.016,356.368,751.061,117,160,77
2024-01-02 22:30,4946.078,3521.016,356.368,751.061,101,197,95
2024-01-02 22:45,4946.167,3521.016,356.368,751.061,97,189,65
2024-01-02 23:00,4946.252,3521.016,356.368,751.061,97,241,77
2024-01-02 23:15,4946.335,3521.016,356.368,751.061,97,210,27
2024-01-02 23:30,4946.415,3521.016,356.368,751.061,96,195,26
2024-01-02 23:45,4946.488,3521.016,356.368,751.061,97,200,27
2024-01-03 00:00,4946.564,3521.016,356.368,751.061,96,202,26
2024-01-03 00:15,4946.637,3521.016,356.368,751.061,98,185,26
2024-01-03 00:30,4946.711,3521.016,356.368,751.061,97,189,26
2024-01-03 00:45,4946.785,3521.016,356.368,751.061,102,81,29
2024-01-03 01:00,4946.830,3521.016,356.368,751.061,114,73,26
2024-01-03 01:15,4946.884,3521.016,356.368,751.061,79,70,26
2024-01-03 01:30,4946.926,3521.016,356.368,751.061,97,66,26
2024-01-03 01:45,4946.974,3521.016,356.368,751.061,66,67,27
2024-01-03 02:00,4947.011,3521.016,356.368,751.061,98,67,26
2024-01-03 02:15,4947.060,3521.016,356.368,751.061,89,68,26
2024-01-03 02:30,4947.103,3521.016,356.368,751.061,115,67,26
2024-01-03 02:45,4947.155,3521.016,356.368,751.061,108,67,28
2024-01-03 03:00,4947.197,3521.016,356.368,751.061,99,67,27
2024-01-03 03:15,4947.244,3521.016,356.368,751.061,97,67,26
2024-01-03 03:30,4947.284,3521.016,356.368,751.061,112,67,27
2024-01-03 03:45,4947.332,3521.016,356.368,751.061,113,67,26
2024-01-03 04:00,4947.377,3521.016,356.368,751.061,103,67,26
2024-01-03 04:15,4947.425,3521.016,356.368,751.061,96,67,26
2024-01-03 04:30,4947.468,3521.016,356.368,751.061,99,67,26
2024-01-03 04:45,4947.512,3521.016,356.368,751.061,97,67,27
2024-01-03 05:00,4947.556,3521.016,356.368,751.061,115,67,26
